espilon,min_samples,n,clusters,seconds
1.792,100,100,1,0.0195488929749
1.792,100,600,2,0.147871017456
1.792,100,1100,3,0.291445970535
1.792,100,1600,3,0.472429037094
1.792,100,2100,2,0.677253007889
1.792,100,2600,2,0.773526906967
1.792,100,3100,2,0.964137077332
1.792,100,3600,2,1.14838314056
1.792,100,4100,2,1.36132788658
1.792,100,4600,2,1.54376316071
1.792,100,5100,2,1.76925301552
1.792,100,5600,2,2.10496687889
1.792,100,6100,2,2.23742389679
1.792,100,6600,2,2.40338611603
1.792,100,7100,2,2.62180709839
1.792,100,7600,1,3.04420113564
1.792,100,8100,1,3.21405696869
1.792,100,8600,1,3.40192008018
1.792,100,9100,1,3.65335702896
1.792,100,9600,1,3.87071800232
1.792,100,10100,1,4.20555400848
1.792,100,10600,1,4.57330584526
1.792,100,11100,1,4.83695888519
1.792,100,11600,1,5.17775917053
1.792,100,12100,1,5.4846470356
1.792,100,12600,1,5.68450093269
1.792,100,13100,1,5.99070501328
1.792,100,13600,1,6.23271107674
1.792,100,14100,1,6.50062704086
1.792,100,14600,1,6.95905804634
1.792,100,15100,1,7.41468095779
1.792,100,15600,1,7.98597598076
1.792,100,16100,1,8.50260710716
1.792,100,16600,1,8.69666385651
1.792,100,17100,1,8.90754294395
1.792,100,17600,1,9.83356809616
1.792,100,18100,1,9.95975089073
1.792,100,18600,1,9.97297716141
1.792,100,19100,1,10.4517481327
1.792,100,19600,1,10.9547278881
1.792,100,20100,1,11.1166951656
1.792,100,20600,1,11.970651865
1.792,100,21100,1,12.3162419796
1.792,100,21600,1,12.9398899078
1.792,100,22100,1,13.4454119205
1.792,100,22600,1,14.011111021
1.792,100,23100,1,14.4394381046
1.792,100,23600,1,14.4061529636
1.792,100,24100,1,14.964277029
1.792,100,24600,1,15.6566200256
1.792,100,25100,1,15.9998450279
1.792,100,25600,1,16.7253799438
1.792,100,26100,1,17.3481810093
1.792,100,26600,1,17.9625859261
1.792,100,27100,1,18.3965549469
1.792,100,27600,1,18.9628808498
1.792,100,28100,1,19.4940059185
1.792,100,28600,1,20.1553020477
1.792,100,29100,1,20.7102000713
1.792,100,29600,1,21.1939029694
1.792,100,30100,1,21.6907298565
1.792,100,30600,1,22.7598850727
1.792,100,31100,1,23.5887241364
1.792,100,31600,1,24.0073530674
1.792,100,32100,1,23.8459599018
1.792,100,32600,1,24.6966621876
1.792,100,33100,1,25.4547979832
1.792,100,33600,1,26.4368150234
1.792,100,34100,1,26.7864880562
1.792,100,34600,1,27.4321100712
1.792,100,35100,1,27.9527840614
1.792,100,35600,1,28.5890181065
1.792,100,36100,1,29.922399044
1.792,100,36600,1,31.1635169983
1.792,100,37100,1,30.9275240898
1.792,100,37600,1,32.2345919609
1.792,100,38100,1,32.6979432106
1.792,100,38600,1,33.2735931873
1.792,100,39100,1,33.9257788658
1.792,100,39600,1,34.7635490894
1.792,100,40100,1,35.7649669647
1.792,100,40600,1,36.1823909283
1.792,100,41100,1,36.8353419304
1.792,100,41600,1,37.6243388653
1.792,100,42100,1,38.1793220043
1.792,100,42600,1,39.1033110619
1.792,100,43100,1,40.2039711475
1.792,100,43600,1,40.2546699047
1.792,100,44100,1,41.409911871
1.792,100,44600,1,42.7561860085
1.792,100,45100,1,43.0513830185
1.792,100,45600,1,42.5035791397
1.792,100,46100,1,44.5406849384
1.792,100,46600,1,45.5159790516
1.792,100,47100,1,47.7645840645
1.792,100,47600,1,48.0314919949
1.792,100,48100,1,49.2705800533
1.792,100,48600,1,48.7560689449
1.792,100,49100,1,49.0135369301
1.792,100,49600,1,51.1953918934
1.792,100,50100,1,52.0105209351
1.792,100,50600,1,52.9187729359
1.792,100,51100,1,54.2349820137
1.792,100,51600,1,54.6141998768
1.792,100,52100,1,55.3890330791
1.792,100,52600,1,56.02054286
1.792,100,53100,1,56.9871480465
1.792,100,53600,1,58.7124898434
1.792,100,54100,1,58.2620289326
