samples,clusters,seconds
100,100,0.226938962936
200,100,0.233349084854
300,100,0.245552062988
400,100,0.261735916138
500,100,0.260302782059
600,100,0.312920093536
700,100,0.354970932007
800,100,0.371898174286
900,100,0.403796195984
1000,100,0.364036083221
1100,100,0.365863084793
1200,100,0.389221191406
1300,100,0.391584157944
1400,100,0.521470069885
1500,100,0.503741979599
1600,100,0.514574050903
1700,100,0.592657089233
1800,100,0.491832971573
1900,100,0.605851888657
2000,100,0.577670097351
2100,100,0.698625087738
2200,100,0.62887096405
2300,100,0.613860845566
2400,100,0.608306884766
2500,100,0.686347961426
2600,100,0.887714147568
2700,100,0.769536972046
2800,100,0.730695009232
2900,100,0.673329114914
3000,100,0.731192827225
3100,100,0.750868082047
3200,100,0.769015073776
3300,100,0.815498828888
3400,100,0.827736139297
3500,100,0.723767995834
3600,100,0.905834913254
3700,100,0.78521490097
3800,100,0.91618180275
3900,100,0.84991312027
4000,100,1.00865721703
4100,100,0.953878879547
4200,100,0.870151996613
4300,100,1.00784993172
4400,100,1.0519490242
4500,100,0.939924955368
4600,100,1.07552909851
4700,100,1.11371898651
4800,100,0.991698980331
4900,100,1.23209095001
5000,100,1.10647106171
5100,100,1.16815805435
5200,100,1.17907214165
5300,100,1.19237112999
5400,100,1.26087808609
5500,100,1.20494508743
5600,100,1.22651600838
5700,100,1.06068611145
5800,100,1.19956612587
5900,100,1.13704800606
6000,100,1.59702205658
6100,100,1.25993800163
6200,100,1.22848916054
6300,100,1.37909293175
6400,100,1.34614610672
6500,100,1.26542711258
6600,100,1.35989999771
6700,100,1.20600414276
6800,100,1.33507609367
6900,100,1.33175802231
7000,100,1.36380910873
7100,100,1.33488297462
7200,100,1.55343389511
7300,100,1.54809498787
7400,100,1.57318687439
7500,100,1.6811439991
100,100,0.217736005783
200,100,0.23037981987
300,100,0.244811058044
400,100,0.260242938995
500,100,0.296372890472
600,100,0.297491073608
700,100,0.301951885223
800,100,0.311715126038
900,100,0.328233003616
1000,100,0.35244679451
1100,100,0.348946094513
1200,100,0.359177112579
1300,100,0.378484964371
1400,100,0.499876022339
1500,100,0.555026054382
1600,100,0.591993093491
1700,100,0.531065940857
1800,100,0.58698797226
1900,100,0.586613178253
2000,100,0.616901159286
2100,100,0.73891711235
2200,100,0.599455833435
2300,100,0.62558889389
2400,100,0.733849048615
2500,100,0.783387899399
2600,100,0.889831781387
2700,100,0.66886305809
2800,100,0.768257141113
2900,100,0.75944018364
3000,100,0.697302818298
3100,100,0.787838935852
3200,100,0.819354057312
3300,100,0.76983499527
3400,100,0.750320196152
3500,100,0.734177827835
3600,100,0.909529924393
3700,100,0.847179889679
3800,100,0.95081782341
3900,100,0.889696836472
4000,100,0.896201848984
4100,100,0.962981939316
4200,100,0.972687005997
4300,100,0.896325111389
4400,100,1.03982400894
4500,100,1.00663304329
4600,100,0.999356985092
4700,100,1.12312412262
4800,100,1.17063498497
4900,100,1.12362098694
5000,100,1.32535409927
5100,100,1.32745099068
5200,100,1.25879597664
5300,100,1.25869297981
5400,100,1.33576703072
5500,100,1.16702985764
5600,100,1.27904105186
5700,100,1.25105690956
5800,100,1.45431184769
5900,100,1.38477897644
