samples,clusters,seconds,batchsize
100,100,0.278630018234,10
600,100,0.343576908112,10
1100,100,0.277503967285,10
1600,100,0.320472955704,10
2100,100,0.332358121872,10
2600,100,0.306928157806,10
3100,100,0.297621011734,10
3600,100,0.543332099915,10
4100,100,0.291396141052,10
4600,100,0.300765991211,10
5100,100,2.24921393394,10
5600,100,2.689193964,10
6100,100,0.296605825424,10
6600,100,0.321146011353,10
7100,100,0.394799947739,10
7600,100,0.3341588974,10
8100,100,0.324054002762,10
8600,100,0.289244890213,10
9100,100,0.306088924408,10
9600,100,0.42578792572,10
10100,100,0.357672929764,10
10600,100,0.340889930725,10
11100,100,2.01139998436,10
11600,100,0.349675893784,10
12100,100,0.338701963425,10
12600,100,0.313956022263,10
13100,100,0.350229978561,10
13600,100,0.324363946915,10
14100,100,0.28867816925,10
14600,100,0.297787189484,10
15100,100,0.305547952652,10
15600,100,0.319822072983,10
16100,100,0.33061003685,10
16600,100,0.367817163467,10
17100,100,0.417911052704,10
17600,100,0.322071075439,10
18100,100,0.360856056213,10
18600,100,0.296718120575,10
19100,100,0.406659126282,10
19600,100,0.372354030609,10
20100,100,0.335782051086,10
20600,100,0.318197011948,10
21100,100,0.330944061279,10
21600,100,0.337020874023,10
22100,100,0.569295883179,10
22600,100,0.337875127792,10
23100,100,0.30103302002,10
23600,100,0.414777040482,10
24100,100,0.319046974182,10
24600,100,0.35330414772,10
25100,100,0.340471029282,10
25600,100,0.351562023163,10
26100,100,0.333812952042,10
26600,100,0.347898960114,10
27100,100,0.354667186737,10
27600,100,0.344123840332,10
28100,100,0.412772893906,10
28600,100,0.37989115715,10
29100,100,4.29064393044,10
29600,100,5.60072517395,10
30100,100,0.607405900955,10
30600,100,6.33723020554,10
31100,100,0.406570911407,10
31600,100,0.478826999664,10
32100,100,0.436877012253,10
32600,100,0.402281045914,10
33100,100,0.497669935226,10
33600,100,5.51571583748,10
34100,100,0.394579172134,10
34600,100,0.354316949844,10
35100,100,0.403955936432,10
35600,100,10.0270030499,10
36100,100,0.427248001099,10
36600,100,0.400198936462,10
37100,100,0.438772201538,10
37600,100,0.4049949646,10
38100,100,0.403157949448,10
38600,100,0.397528886795,10
39100,100,0.403874874115,10
39600,100,0.416898965836,10
40100,100,0.413554906845,10
40600,100,0.39315700531,10
41100,100,0.390895843506,10
41600,100,0.406871795654,10
42100,100,6.86207103729,10
42600,100,0.503214120865,10
43100,100,0.408728837967,10
43600,100,0.426823854446,10
44100,100,0.425966978073,10
44600,100,0.398760080338,10
45100,100,0.40270614624,10
45600,100,0.403670072556,10
46100,100,0.389240980148,10
46600,100,0.378470182419,10
47100,100,0.408559083939,10
47600,100,9.26247406006,10
48100,100,0.383375883102,10
48600,100,0.380930900574,10
49100,100,0.375118970871,10
49600,100,0.472727060318,10
50100,100,0.387224912643,10
50600,100,0.380557060242,10
51100,100,0.398322105408,10
51600,100,0.400056123734,10
52100,100,0.428725004196,10
52600,100,0.381981134415,10
53100,100,0.370244026184,10
53600,100,0.383265972137,10
54100,100,0.415033102036,10
54600,100,0.365853071213,10
55100,100,0.378829956055,10
55600,100,0.486675024033,10
56100,100,0.477874040604,10
56600,100,0.386096000671,10
57100,100,0.38766002655,10
57600,100,0.387805938721,10
58100,100,12.1040649414,10
58600,100,0.396650075912,10
59100,100,0.452511787415,10
59600,100,0.45041513443,10
60100,100,0.395973920822,10
60600,100,0.412656068802,10
61100,100,9.67632603645,10
61600,100,0.449640035629,10
62100,100,0.395212888718,10
62600,100,0.400879859924,10
63100,100,0.404829025269,10
63600,100,0.404604911804,10
64100,100,0.41001200676,10
64600,100,0.397140979767,10
65100,100,0.418450117111,10
65600,100,0.382452011108,10
66100,100,0.400693893433,10
66600,100,0.43029499054,10
