samples,clusters,seconds,batchsize
100,100,0.299077033997,50
600,100,0.404870033264,50
1100,100,0.451612949371,50
1600,100,0.439814090729,50
2100,100,0.329585075378,50
2600,100,0.339108943939,50
3100,100,0.33499288559,50
3600,100,0.742984056473,50
4100,100,0.329813957214,50
4600,100,0.330574035645,50
5100,100,0.872144937515,50
5600,100,0.952138900757,50
6100,100,0.96586894989,50
6600,100,1.05146098137,50
7100,100,0.38440990448,50
7600,100,0.866159915924,50
8100,100,0.300251960754,50
8600,100,0.321074008942,50
9100,100,0.331292152405,50
9600,100,1.0299270153,50
10100,100,1.0294380188,50
10600,100,1.16969799995,50
11100,100,0.618397951126,50
11600,100,0.313353061676,50
12100,100,0.326159000397,50
12600,100,0.314623117447,50
13100,100,0.321221113205,50
13600,100,0.331890106201,50
14100,100,0.322904109955,50
14600,100,1.02161884308,50
15100,100,0.32501578331,50
15600,100,0.974088907242,50
16100,100,0.346693992615,50
16600,100,0.39542889595,50
17100,100,0.569977998734,50
17600,100,0.314471006393,50
18100,100,0.307200908661,50
18600,100,0.326367139816,50
19100,100,0.341946125031,50
19600,100,0.332144975662,50
20100,100,0.349819898605,50
20600,100,0.511430025101,50
21100,100,1.82550501823,50
21600,100,0.3480219841,50
22100,100,0.94566988945,50
22600,100,0.391428947449,50
23100,100,0.443625926971,50
23600,100,0.372366905212,50
24100,100,0.363152980804,50
24600,100,2.13661193848,50
25100,100,0.342360019684,50
25600,100,0.366113901138,50
26100,100,0.3285779953,50
26600,100,0.463382959366,50
27100,100,0.362347126007,50
27600,100,0.4108710289,50
28100,100,1.3302128315,50
28600,100,0.388339042664,50
29100,100,1.24646902084,50
29600,100,0.943905830383,50
30100,100,0.356940984726,50
30600,100,1.21741318703,50
31100,100,1.57518005371,50
31600,100,2.43926811218,50
32100,100,0.376219987869,50
32600,100,0.376115083694,50
33100,100,0.380444049835,50
33600,100,3.28838205338,50
34100,100,0.403695821762,50
34600,100,0.372124195099,50
35100,100,0.390358924866,50
35600,100,2.44065499306,50
