samples,clusters,seconds,batchsize
100,100,0.29710817337,20
600,100,0.318171024323,20
1100,100,0.293605804443,20
1600,100,0.357553005219,20
2100,100,0.369230031967,20
2600,100,0.29388999939,20
3100,100,0.301983118057,20
3600,100,0.48756814003,20
4100,100,0.299141168594,20
4600,100,0.312324047089,20
5100,100,1.29785490036,20
5600,100,1.80845117569,20
6100,100,0.33863902092,20
6600,100,0.325180053711,20
7100,100,0.340880870819,20
7600,100,0.312296867371,20
8100,100,0.328119039536,20
8600,100,0.320501089096,20
9100,100,0.331892967224,20
9600,100,1.23286700249,20
10100,100,0.379344940186,20
10600,100,0.441415071487,20
11100,100,1.27557706833,20
11600,100,0.348495006561,20
12100,100,1.80000805855,20
12600,100,0.287127017975,20
13100,100,0.406505823135,20
13600,100,0.340827226639,20
14100,100,0.342884063721,20
14600,100,1.77851891518,20
15100,100,0.329175949097,20
15600,100,0.352421045303,20
16100,100,0.467648983002,20
16600,100,0.372558116913,20
17100,100,0.315956115723,20
17600,100,0.330178976059,20
18100,100,0.316207170486,20
18600,100,0.330263853073,20
19100,100,0.333843946457,20
19600,100,0.316719770432,20
20100,100,0.297715187073,20
20600,100,0.369735956192,20
21100,100,0.548981904984,20
21600,100,0.36265707016,20
22100,100,0.506743907928,20
22600,100,0.359060049057,20
23100,100,0.358870029449,20
23600,100,0.330886125565,20
24100,100,0.324699878693,20
24600,100,0.341454029083,20
25100,100,0.333765029907,20
25600,100,0.342754125595,20
26100,100,0.326351881027,20
26600,100,0.479769945145,20
27100,100,0.35398888588,20
27600,100,0.34598493576,20
28100,100,0.358365058899,20
28600,100,0.365169048309,20
29100,100,3.20410394669,20
29600,100,2.09751105309,20
30100,100,0.362370967865,20
30600,100,2.01068305969,20
31100,100,1.13034391403,20
31600,100,4.39340305328,20
32100,100,0.428926944733,20
32600,100,0.400520086288,20
33100,100,0.440864086151,20
33600,100,4.60223007202,20
34100,100,0.558887004852,20
34600,100,0.370451927185,20
35100,100,0.357105970383,20
35600,100,5.65339016914,20
36100,100,0.362331151962,20
36600,100,0.367534160614,20
37100,100,0.346391916275,20
37600,100,0.407431125641,20
38100,100,0.381197929382,20
38600,100,0.35891699791,20
39100,100,0.40158700943,20
39600,100,1.57619810104,20
40100,100,0.35414814949,20
40600,100,0.401898145676,20
41100,100,0.419394016266,20
41600,100,0.346367120743,20
42100,100,3.31572699547,20
42600,100,0.374367952347,20
43100,100,0.423611879349,20
43600,100,3.70941305161,20
44100,100,0.437847137451,20
44600,100,0.45528793335,20
45100,100,0.373088121414,20
45600,100,0.380415916443,20
46100,100,0.419541120529,20
46600,100,0.410335063934,20
47100,100,0.403156042099,20
47600,100,4.76933097839,20
48100,100,0.390548944473,20
48600,100,0.452470064163,20
49100,100,8.57099199295,20
49600,100,0.384146928787,20
50100,100,0.365689992905,20
50600,100,0.441866874695,20
51100,100,0.407651901245,20
51600,100,0.396246910095,20
52100,100,0.33917593956,20
52600,100,0.373121023178,20
53100,100,0.343523025513,20
53600,100,0.439493894577,20
54100,100,0.414780855179,20
54600,100,0.402207136154,20
55100,100,0.417968988419,20
55600,100,0.408765077591,20
56100,100,0.388059139252,20
56600,100,0.366175889969,20
57100,100,0.557735919952,20
57600,100,0.383617162704,20
58100,100,8.49539685249,20
58600,100,0.452278137207,20
59100,100,0.430331945419,20
59600,100,0.434041023254,20
60100,100,0.400948047638,20
60600,100,5.6897649765,20
61100,100,6.62337994576,20
61600,100,0.600522994995,20
62100,100,0.407671928406,20
62600,100,0.415300130844,20
63100,100,4.25404596329,20
63600,100,0.447343111038,20
64100,100,0.404649972916,20
64600,100,0.393774032593,20
65100,100,0.399163961411,20
65600,100,0.410804986954,20
66100,100,0.433205127716,20
66600,100,0.420122861862,20
67100,100,0.418317079544,20
67600,100,0.397338867188,20
68100,100,0.418211936951,20
68600,100,0.450846910477,20
69100,100,0.439455986023,20
69600,100,0.464945793152,20
70100,100,0.473721027374,20
70600,100,0.428697109222,20
71100,100,0.423922777176,20
71600,100,0.440716981888,20
72100,100,0.472696065903,20
72600,100,0.467444896698,20
73100,100,0.450401067734,20
73600,100,0.439499855042,20
74100,100,0.423747062683,20
74600,100,0.463809013367,20
75100,100,0.582077026367,20
75600,100,0.525844812393,20
76100,100,0.476430177689,20
76600,100,0.45982003212,20
77100,100,0.424659967422,20
77600,100,3.46565008163,20
78100,100,0.425747156143,20
78600,100,0.478602170944,20
79100,100,0.441635131836,20
79600,100,0.537456035614,20
80100,100,0.446483135223,20
80600,100,1.74855089188,20
81100,100,0.489639997482,20
81600,100,0.487678050995,20
82100,100,0.450726032257,20
82600,100,0.491848945618,20
83100,100,0.423924922943,20
83600,100,0.437375068665,20
84100,100,0.471371173859,20
84600,100,0.450020074844,20
85100,100,0.495449781418,20
85600,100,0.439767837524,20
86100,100,0.447858810425,20
86600,100,0.442414999008,20
87100,100,0.441955804825,20
87600,100,0.418546915054,20
88100,100,0.471692085266,20
88600,100,0.490327119827,20
89100,100,0.433609962463,20
89600,100,0.449013948441,20
90100,100,0.446254014969,20
90600,100,0.454928874969,20
91100,100,10.9021937847,20
91600,100,0.502531051636,20
92100,100,0.525001049042,20
92600,100,0.472418069839,20
93100,100,8.27774190903,20
93600,100,0.499188899994,20
94100,100,0.483345031738,20
94600,100,0.468042135239,20
95100,100,0.488059997559,20
95600,100,0.530659914017,20
96100,100,0.495611190796,20
96600,100,10.0531480312,20
97100,100,0.53401517868,20
97600,100,0.437254905701,20
98100,100,0.663000106812,20
98600,100,0.493626117706,20
99100,100,0.440665006638,20
99600,100,0.496353149414,20
