clusters,seconds
1,0.349710941315
501,5.81040501595
1001,10.7828159332
1501,16.1622059345
2001,22.082901001
2501,28.045333147
3001,35.2349720001
3501,41.7275550365
4001,50.1604139805
4501,57.2289872169
