clusters,seconds
1,0.501075029373
51,1.06615209579
101,1.59552717209
151,2.17977285385
201,2.66685295105
251,3.27450084686
301,8.5692050457
351,4.20782804489
401,5.1970539093
451,5.80286192894
501,6.40922498703
551,7.06796503067
601,7.61550688744
651,7.97971987724
701,8.48898506165
751,9.23061394691
801,9.61345100403
851,10.4300181866
901,10.9342069626
951,11.4165360928
1001,11.713037014
1051,12.4207611084
1101,13.1740789413
1151,13.4113540649
1201,13.9922811985
1251,15.085198164
1301,15.1845669746
1351,15.6861162186
1401,16.1618800163
1451,17.6168231964
