clusters,seconds
1,0.75807595253
6,1.00318694115
11,1.10873293877
16,1.20598983765
21,4.00516200066
26,1.40720486641
31,1.49371314049
36,1.57197189331
41,1.68002295494
46,1.77215194702
51,1.85534119606
56,2.8116338253
61,6.34888792038
66,2.13081598282
71,2.21754813194
76,6.57149505615
81,2.37539696693
86,2.47142100334
91,2.64287209511
96,2.63255000114
101,2.74189090729
106,10.5633649826
111,2.88753700256
116,3.00046205521
121,3.09058904648
126,3.2671649456
131,3.3573179245
136,3.38871717453
141,13.4027581215
146,3.59847903252
151,3.66764688492
156,4.01552891731
161,3.8682179451
166,4.96173477173
171,3.98484015465
176,4.11224102974
181,4.2077460289
186,4.21969914436
191,4.3394138813
196,4.45880794525
