clusters,seconds
1,2.17483115196
6,1.91696405411
11,2.11436605453
16,5.80862903595
21,2.45317101479
26,2.6673810482
31,2.81319284439
36,2.98039293289
41,3.21018004417
46,3.31234097481
51,3.60627603531
56,3.76449608803
61,3.85885381699
66,4.072453022
71,4.19605588913
76,4.30407094955
81,4.46201395988
86,4.5830540657
91,4.75937390327
96,4.93523812294
101,5.14556694031
106,9.27856707573
111,5.44239497185
116,5.62003898621
121,5.73516011238
126,5.88536119461
131,6.12743616104
136,6.28639793396
141,10.0403840542
146,6.6176738739
151,6.7396440506
156,6.80492687225
161,7.14710998535
166,11.7117021084
171,7.31466007233
176,7.49848294258
181,7.68851399422
186,7.87734889984
191,8.18943881989
196,8.10887908936
