clusters,seconds
1,0.166526079178
21,4.43404889107
41,9.98210000992
61,14.969383955
81,22.8079319
101,30.2231690884
121,34.1514201164
141,38.0617229939
161,44.0288310051
181,49.6190030575
201,55.4719679356
221,54.1561691761
241,60.1776320934
261,65.4548509121
281,64.9664950371
301,76.1609079838
321,85.8851730824
341,84.519272089
361,87.4515099525
381,101.618005991
401,104.055956125
421,107.901839972
