espilon,samples,clusters,seconds
0.00160934449789,100,45,0.873108863831
0.00321868899579,100,70,1.11532998085
0.00482803349368,100,106,1.34408187866
0.00643737799157,100,126,1.49612116814
0.00804672248946,100,119,1.59469985962
0.00965606698736,100,103,1.79232883453
0.0112654114852,100,86,2.09918904305
0.0128747559831,100,72,2.40508508682
0.014484100481,100,61,5.46035599709
0.0160934449789,100,62,4.32250499725
0.0177027894768,100,55,3.41382908821
0.0193121339747,100,54,4.69270205498
0.0209214784726,100,54,3.57383513451
0.0225308229705,100,53,3.77302598953
0.0241401674684,100,52,4.78290295601
0.0257495119663,100,52,6.71344780922
0.0273588564642,100,54,4.36821103096
0.0289682009621,100,59,4.2910900116
0.03057754546,100,58,7.13797783852
